GEOID,STATEFP,STATE,COUNTYFP,COUNTY,TOT_HOUS22,TOT_CHI22,TOT_MAR22,TOT_MAL22,TOT_FEM22,TOT_BPOV22,CHI_BPOV22,MAR_BPOV22,MAL_BPOV22,FEM_BPOV22,TOT_APOV22,CHI_APOV22,MAR_APOV22,MAL_APOV22,FEM_APOV22,TOT_CVAP22,BPV_CVAP22,APV_CVAP22
41011000101,41, Oregon,011, Coos County,495,103,76,6,21,41,4,4,0,0,454,99,72,6,21,1476,208,1268
41011000102,41, Oregon,011, Coos County,577,85,20,0,65,169,46,0,0,46,408,39,20,0,19,1553,431,1122
41011000103,41, Oregon,011, Coos County,752,289,269,0,20,0,0,0,0,0,752,289,269,0,20,2023,60,1963
41011000200,41, Oregon,011, Coos County,748,228,141,82,5,67,27,14,8,5,681,201,127,74,0,2419,232,2187
41011000300,41, Oregon,011, Coos County,828,332,173,45,114,104,80,45,9,26,724,252,128,36,88,2887,390,2497
41011000401,41, Oregon,011, Coos County,767,417,303,11,103,139,139,71,0,68,628,278,232,11,35,2120,165,1955
41011000402,41, Oregon,011, Coos County,1231,413,203,0,210,237,203,25,0,178,994,210,178,0,32,2955,370,2585
41011000502,41, Oregon,011, Coos County,692,175,91,0,84,10,0,0,0,0,682,175,91,0,84,2238,161,2077
41011000503,41, Oregon,011, Coos County,719,198,137,39,22,91,50,17,20,13,628,148,120,19,9,2350,259,2091
41011000505,41, Oregon,011, Coos County,979,347,53,169,125,94,70,17,0,53,885,277,36,169,72,3124,396,2728
41011000506,41, Oregon,011, Coos County,534,253,88,55,110,57,41,2,0,39,477,212,86,55,71,1653,286,1367
41011000600,41, Oregon,011, Coos County,656,276,171,73,32,24,13,0,0,13,632,263,171,73,19,2156,218,1938
41011000701,41, Oregon,011, Coos County,895,382,221,21,140,73,73,0,0,73,822,309,221,21,67,3237,506,2731
41011000702,41, Oregon,011, Coos County,829,355,204,26,125,142,106,0,0,106,687,249,204,26,19,2478,516,1962
41011000800,41, Oregon,011, Coos County,873,255,208,9,38,6,0,0,0,0,867,255,208,9,38,2448,158,2290
41011000901,41, Oregon,011, Coos County,830,295,177,11,107,54,32,0,0,32,776,263,177,11,75,2597,286,2311
41011000902,41, Oregon,011, Coos County,1057,473,349,91,33,50,50,50,0,0,1007,423,299,91,33,2636,446,2190
41011001001,41, Oregon,011, Coos County,781,334,276,5,53,69,20,20,0,0,712,314,256,5,53,2888,461,2427
41011001002,41, Oregon,011, Coos County,1131,277,165,0,112,149,116,38,0,78,982,161,127,0,34,3277,743,2534
41011001101,41, Oregon,011, Coos County,758,314,154,126,34,164,153,29,120,4,594,161,125,6,30,2338,568,1770
41011001102,41, Oregon,011, Coos County,823,253,180,30,43,111,47,13,6,28,712,206,167,24,15,2618,428,2190
41011990101,41, Oregon,011, Coos County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41021960100,41, Oregon,021, Gilliam County,449,161,122,14,25,12,7,7,0,0,437,154,115,14,25,1534,220,1314
41015950100,41, Oregon,015, Curry County,891,175,101,37,37,110,82,52,0,30,781,93,49,37,7,2635,532,2103
41015950201,41, Oregon,015, Curry County,1134,296,183,0,113,178,77,16,0,61,956,219,167,0,52,3023,391,2632
41015950202,41, Oregon,015, Curry County,797,172,106,66,0,54,0,0,0,0,743,172,106,66,0,1935,268,1667
41015950301,41, Oregon,015, Curry County,1532,603,326,123,154,137,0,0,0,0,1395,603,326,123,154,3601,580,3021
41015950302,41, Oregon,015, Curry County,1551,479,224,102,153,0,0,0,0,0,1551,479,224,102,153,4078,313,3765
41015950401,41, Oregon,015, Curry County,1060,224,112,15,97,64,17,17,0,0,996,207,95,15,97,2644,333,2311
41015950402,41, Oregon,015, Curry County,587,36,36,0,0,45,0,0,0,0,542,36,36,0,0,1573,102,1471
41015990101,41, Oregon,015, Curry County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41031940000,41, Oregon,031, Jefferson County,575,360,92,33,235,155,120,25,10,85,420,240,67,23,150,1873,423,1450
41031960100,41, Oregon,031, Jefferson County,405,142,106,21,15,7,0,0,0,0,398,142,106,21,15,1080,59,1021
41031960201,41, Oregon,031, Jefferson County,709,376,159,52,165,194,173,51,0,122,515,203,108,52,43,2087,487,1600
41031960202,41, Oregon,031, Jefferson County,1731,868,389,320,159,189,133,13,120,0,1542,735,376,200,159,4143,508,3635
41031960301,41, Oregon,031, Jefferson County,1448,283,181,23,79,130,0,0,0,0,1318,283,181,23,79,3852,447,3405
41031960303,41, Oregon,031, Jefferson County,267,61,46,5,10,17,5,0,0,5,250,56,46,5,5,714,31,683
41031960304,41, Oregon,031, Jefferson County,674,363,263,59,41,13,8,8,0,0,661,355,255,59,41,2033,101,1932
41031960305,41, Oregon,031, Jefferson County,459,153,103,27,23,36,16,3,0,13,423,137,100,27,10,1269,143,1126
41043020101,41, Oregon,043, Linn County,1617,671,631,28,12,40,38,24,2,12,1577,633,607,26,0,4134,182,3952
41043020102,41, Oregon,043, Linn County,573,321,263,26,32,13,13,13,0,0,560,308,250,26,32,1806,68,1738
41043020103,41, Oregon,043, Linn County,759,301,249,0,52,85,85,47,0,38,674,216,202,0,14,2072,327,1745
41043020200,41, Oregon,043, Linn County,415,133,97,14,22,21,0,0,0,0,394,133,97,14,22,1429,178,1251
41043020300,41, Oregon,043, Linn County,1850,801,549,52,200,122,81,10,0,71,1728,720,539,52,129,5771,438,5333
41043020400,41, Oregon,043, Linn County,1037,504,274,74,156,55,55,9,0,46,982,449,265,74,110,3414,568,2846
41043020500,41, Oregon,043, Linn County,1071,581,429,64,88,68,60,8,27,25,1003,521,421,37,63,2984,219,2765
41043020601,41, Oregon,043, Linn County,922,398,251,30,117,18,18,0,18,0,904,380,251,12,117,2724,226,2498
41043020602,41, Oregon,043, Linn County,1331,746,440,59,247,169,158,15,31,112,1162,588,425,28,135,3755,366,3389
