name,lat,lon
Church of God of Prophecy,44.9684466,-122.97128640000001
Messiah Lutheran Church,44.9648382,-122.9609657
Oak Park Community Church of God,44.9639035,-122.98278970000001
Free Methodist Church,44.970572100000005,-122.97411500000001
Berlin Union Church,44.4917898,-122.75730920000001
Eden Church,43.255948100000005,-123.48785830000001
Foots Creek Chapel,42.3928993,-123.1411623
Hebron Church,43.6990108,-123.07868880000001
Holy Rosary Church,44.994053900000004,-122.6184527
Malheur Butte Church,43.987940300000005,-117.0854441
Meadowbrook Church,45.1968775,-122.54371560000001
Ontario Heights Church,44.0687742,-117.0434987
Pine Grove Church,45.590977,-117.77270360000001
Pleasant Grove Church,44.800121700000005,-122.88898
Rock Creek Church,45.1587321,-122.71453550000001
Smyrna Church,45.1565103,-122.681757
Trinity Lutheran Church,45.071232300000005,-122.742868
Tutuilla Mission,45.630424700000006,-118.7149045
Chapel of the Valley,44.5391757,-123.6803033
Church in the Wildwood,45.104555500000004,-123.7128904
Old German Brethren Church,44.8978953,-123.38204850000001
Williamson River Mission,42.5162476,-121.9186262
Brigittine Monastery,45.0901165,-123.2692712
Bethel Community Church,45.0412289,-123.18399040000001
Mountaindale Church,45.7295573,-123.08649860000001
Cedar Grove Church,43.074006600000004,-123.1970072
Ten O'Clock Church,45.2654007,-122.5186991
The Refuge,44.5415877,-123.35723270000001
Hauser Community Church,43.5116667,-124.21194440000001
All City Church,45.5026791,-122.59409830000001
Beavercreek Baptist Church,45.2872222,-122.5466667
Sonshine Christian Center,45.2652778,-122.40888890000001
Unbroken Fellowship Church,45.2283333,-122.4325
Grand View Baptist Church,45.2908333,-122.5627778
Living Word Fellowship,45.4308333,-122.32638890000001
Canby Hispanic Foursquare Church,45.274134600000004,-122.6887662
Smyrna United Church of Christ,45.1563889,-122.6819444
Christ the Vine Lutheran Church,45.4138889,-122.4711111
Carver Community Church,45.3941667,-122.495
Hillside Christian Fellowship,45.419964500000006,-122.46616370000001
Colton Community Church,45.1722222,-122.42972220000001
Aspen Meadow Church,45.161388900000006,-122.4138889
Sunnyside Community Church,45.409722200000004,-122.494166
The Voice of the Trumpet Ministries,45.417500000000004,-122.4597222
Hollyview Baptist Church,45.421111100000005,-122.39972220000001
Damascus Community Church,45.418888900000006,-122.44972220000001
Eagle Creek Presbyterian Church,45.3572222,-122.36055560000001
Eagle Creek Foursquare Church,45.3386111,-122.34388890000001
Dover Community Church,45.3308333,-122.22972220000001
Estacada Christian Church,45.3125,-122.34333330000001
Dodge Community Church,45.2155556,-122.29805560000001
Estacada Bible Fellowship,45.341666700000005,-122.4191667
Garfield Community Church,45.273333300000004,-122.27888890000001
George Community Church,45.293888900000006,-122.2325
New Life Church,45.3919444,-122.6005556
Town Center Baptist Church,45.4454742,-122.5766059
Happy Valley Evangelical Church,45.4467246,-122.5310917
Theophilus Church,45.4030556,-122.58722220000001
Calvary Chapel Southeast Portland,45.424851100000005,-122.5892687
The Church of Jesus Christ of Latter-day Saints,45.1488889,-122.59444440000001
Molalla Christian Church,45.1452778,-122.5766667
The Country Christian Church,45.1719444,-122.5186111
The Evangelical Church at Liberal,45.185833300000006,-122.5888889
Molalla Church of the Nazarene,45.146666700000004,-122.56138890000001
Molalla United Methodist Church,45.1441667,-122.56333330000001
New Beginnings Foursquare Church,45.1383333,-122.5811111
Molalla Assembly of God,45.146666700000004,-122.5777778
Meadowbrook Community Church,45.197045900000006,-122.54369650000001
Mulino Grace Community Church,45.2172222,-122.5802778
Christ Light Community Church,45.1986811,-122.4729896
Clarkes United Methodist Church,45.2069552,-122.50563220000001
New Martyrs of Russia Orthodox Church,45.2436111,-122.58305560000001
Faith Fellowship Ministries,45.3713889,-122.5208333
Evergreen Community Church,45.3444444,-122.51833330000001
Viola Ridge Christian Center,45.303333300000006,-122.4391667
Calvary Chapel Oregon City,45.3096462,-122.5531476
Community Worship Church,45.388888900000005,-122.2061111
Gospel of Our Savior Community Chapel,45.388611100000006,-122.2880556
Hope Fellowship Church,45.2744444,-122.85638890000001
Creekside Bible Church,45.310359600000005,-122.78771590000001
BBC Ministries,42.207222200000004,-121.7283333
Calvary Chapel,45.498045700000006,-122.41364800000001
Cambodian Buddhist Society of Oregon,45.376282100000005,-122.69959320000001
Clinton Street Bible Chapel,45.50292,-122.474704
Celebration Tabernacle,45.582115400000006,-122.68713550000001
Church of God of Prophecy,45.5213175,-122.48536150000001
Samoan Seventh Day Independent Church,45.388621300000004,-122.6187761
Eagles Wings Ministries,45.4442607,-122.6144392
Freedom Foursquare Church,45.5176967,-122.49835730000001
Glenfair Family Church,45.523076200000006,-122.51481480000001
Albina Christian Life Center,45.5621748,-122.6896667
Lifeline Christian Church,45.566245800000004,-122.6750966
Campus Christian Ministry,45.5121101,-122.6833136
Portland Onnuri Church,45.422699800000004,-122.87866260000001
Rockwood Christan Church,45.522873700000005,-122.48792800000001
Chapel of Mercy,45.4834333,-122.8427652
Scholls Community Church,45.405510500000005,-122.92313610000001
A Jesus Church,45.443204200000004,-122.7844477
,45.5456475,-122.86825700000001
The Village Seventh Day Adventist Church,45.493858700000004,-122.47875830000001
Trinity Fellowship Church,45.5031654,-122.59409670000001
Union Gospel Mission Lifechange Center,45.523322500000006,-122.67366700000001
Vietnamese Baptist Church of Aloha,45.515662600000006,-122.8947722
Mountainview Christian Church,45.510778,-122.41982200000001
Multnomah Holiness Association,45.4906298,-122.550914
Neighborhood Church,45.3678475,-122.70918680000001
New Era Christian Spiritualist Church,45.2959716,-122.65441360000001
New Testament Church of God in Christ,45.5509391,-122.6529593
North Community Church,45.5766268,-122.6759042
Great Day Fellowship Church,45.389794200000004,-122.50987180000001
Safe House Church,45.446095400000004,-122.6089141
Helvetia Community Church,45.6061616,-122.926748
Iglesia de Cristo,45.5033072,-122.5281168
Iglesia del Dios Vivo Columna y Apoyo de la Verdad,45.2650578,-122.6927646
Japanese International Baptist Church,45.441347900000004,-122.764041
Johrei Fellowship Portland Center,45.5056153,-122.56291870000001
Butteville Community Church,45.2611706,-122.84000400000001
Gateway Worship Center,46.110555600000005,-123.20194400000001
Hood River Alliance Church,45.7061111,-121.5383333
Immanuel Lutheran Church,45.7077778,-121.5197222
Parkdale Church of the Nazarene,45.521666700000004,-121.5947222
Parkdale Baptist Church,45.546111100000005,-121.6091667
Pine Grove-Odell United Methodist Church,45.625555600000006,-121.5413889
Canaan Community Church,45.932222200000005,-122.91777780000001
The Church of Jesus Christ of Latter-day Saints,45.5908333,-121.16361110000001
Chinese Christian Church of Corvallis,44.5663889,-123.2677778
Alsea United Methodist Church,44.3827778,-123.59694440000001
First Church Of Christ Scientist,46.0293252,-123.91130070000001
Calvary Assembly of God,46.1527778,-123.9283333
Coos Bay Foursquare Church,43.3655595,-124.2172316
Emmanuel Baptist Church of Coquille Oregon,43.180277800000006,-124.19194440000001
College Park Community Church,43.3919483,-124.2472316
Bay Area Church of the Nazarene,43.393912300000004,-124.23716200000001
The Church of Jesus Christ of Latter-day Saints,43.114444400000004,-124.41111110000001
Arago Community Church,43.1016667,-124.19055560000001
Saint Timothys Episcopal Church,42.0568408,-124.2757627
Zion Lutheran Church,42.754444400000004,-124.49611110000001
First Community Church of Port Orford,42.7547457,-124.49499320000001
Vine Street Baptist Church,43.235277800000006,-123.3477778
New Beginnings Christian Assembly,43.216388800000004,-123.34055570000001
Church of the Nazarene,43.0297222,-123.2847222
Seventh Day Adventist Church,43.025664000000006,-123.28091570000001
Riddle First Church of God,42.9527778,-123.36138890000001
Open Bible Christian Center,42.9558333,-123.3591667
Seventh Day Adventist Church,42.4127778,-124.41972220000001
Emerald Baptist Church,44.0391497,-123.08312260000001
Bethesda Lutheran Church,44.070412700000006,-123.1715755
Art House Friends Church,43.900555600000004,-123.0383333
Trent Church of Christ,43.9408333,-122.8538889
Elmira Church of Christ,44.068611100000005,-123.35833330000001
Native American Church of Siletz,44.748888900000004,-123.7936111
Sweet Home Evangelical Church,44.3968593,-122.7280886
First Christian Church,44.6340397,-123.1087533
Calvary Baptist Church,44.61,-123.0925
Lebanon Foursquare Church,44.5341667,-122.91361110000001
Lebanon Evangelical Church,44.5408333,-122.90583330000001
Evergreen Mennonite Church,44.7066667,-122.80361110000001
Oakview Community Church of God,44.6852778,-122.88361110000001
Church of God Seventh Day,44.276935800000004,-123.16165840000001
Skyline Baptist Church,44.8877778,-123.06555560000001
Salem Chinese Evangelical Church,44.8561111,-123.02777780000001
Church of God of Prophecy Bible Place,44.7911828,-122.8428106
Jefferson Evangelical Church,44.722222200000004,-123.0105556
