Year,Month,State,County,Rate
2015,February,Oregon,Polk County,6.1
2015,February,Oregon,Yamhill County,5.7
2015,February,Oregon,Jefferson County,9.3
2015,February,Oregon,Josephine County,8.8
2015,February,Oregon,Hood River County,5.6
2015,February,Oregon,Klamath County,9.6
2015,February,Oregon,Baker County,8.3
2015,February,Oregon,Curry County,9.7
2015,February,Oregon,Linn County,7.4
2015,February,Oregon,Umatilla County,8.0
2015,February,Oregon,Lincoln County,7.7
2015,February,Oregon,Jackson County,7.9
2015,February,Oregon,Marion County,6.7
2015,February,Oregon,Tillamook County,6.4
2015,February,Oregon,Wasco County,7.1
2015,February,Oregon,Morrow County,6.9
2015,February,Oregon,Malheur County,7.4
2015,February,Oregon,Clatsop County,6.4
2015,February,Oregon,Benton County,4.4
2015,February,Oregon,Union County,7.5
2015,February,Oregon,Coos County,8.4
2015,February,Oregon,Lake County,10.3
2015,February,Oregon,Washington County,5.0
2015,February,Oregon,Douglas County,8.4
2015,February,Oregon,Clackamas County,5.5
2015,February,Oregon,Sherman County,7.1
2015,February,Oregon,Crook County,10.6
2015,February,Oregon,Gilliam County,6.5
2015,February,Oregon,Harney County,10.6
2015,February,Oregon,Deschutes County,7.1
2015,February,Oregon,Columbia County,7.7
2015,February,Oregon,Wheeler County,5.7
2015,February,Oregon,Grant County,14.0
2015,February,Oregon,Wallowa County,12.2
2015,February,Oregon,Lane County,6.3
2015,February,Oregon,Multnomah County,5.3
2015,October,Oregon,Polk County,5.2
2015,October,Oregon,Yamhill County,4.9
2015,October,Oregon,Jefferson County,6.7
2015,October,Oregon,Josephine County,7.2
2015,October,Oregon,Hood River County,4.1
2015,October,Oregon,Klamath County,7.1
2015,October,Oregon,Baker County,6.0
2015,October,Oregon,Curry County,7.3
2015,October,Oregon,Linn County,6.6
2015,October,Oregon,Umatilla County,5.4
2015,October,Oregon,Lincoln County,6.3
2015,October,Oregon,Jackson County,6.0
2015,October,Oregon,Marion County,5.6
2015,October,Oregon,Tillamook County,5.3
2015,October,Oregon,Wasco County,5.2
2015,October,Oregon,Morrow County,4.9
2015,October,Oregon,Malheur County,5.2
2015,October,Oregon,Clatsop County,5.0
2015,October,Oregon,Benton County,3.9
2015,October,Oregon,Union County,5.6
2015,October,Oregon,Coos County,6.9
2015,October,Oregon,Lake County,5.9
2015,October,Oregon,Washington County,4.5
2015,October,Oregon,Douglas County,7.0
2015,October,Oregon,Clackamas County,4.9
2015,October,Oregon,Sherman County,5.3
2015,October,Oregon,Crook County,7.4
2015,October,Oregon,Gilliam County,5.9
2015,October,Oregon,Harney County,6.1
2015,October,Oregon,Deschutes County,5.4
2015,October,Oregon,Columbia County,6.8
2015,October,Oregon,Wheeler County,4.6
2015,October,Oregon,Grant County,6.9
2015,October,Oregon,Wallowa County,6.0
2015,October,Oregon,Lane County,5.6
2015,October,Oregon,Multnomah County,4.8
2015,March,Oregon,Polk County,6.1
2015,March,Oregon,Yamhill County,5.6
2015,March,Oregon,Jefferson County,8.2
2015,March,Oregon,Josephine County,8.4
2015,March,Oregon,Hood River County,5.2
2015,March,Oregon,Klamath County,9.0
2015,March,Oregon,Baker County,7.9
2015,March,Oregon,Curry County,9.6
2015,March,Oregon,Linn County,7.2
2015,March,Oregon,Umatilla County,7.5
2015,March,Oregon,Lincoln County,7.4
2015,March,Oregon,Jackson County,7.8
2015,March,Oregon,Marion County,6.6
2015,March,Oregon,Tillamook County,6.2
2015,March,Oregon,Wasco County,6.7
2015,March,Oregon,Morrow County,6.3
2015,March,Oregon,Malheur County,7.0
2015,March,Oregon,Clatsop County,6.2
2015,March,Oregon,Benton County,4.5
2015,March,Oregon,Union County,7.0
2015,March,Oregon,Coos County,8.2
2015,March,Oregon,Lake County,9.7
2015,March,Oregon,Washington County,5.0
